1981	12
1982	14
1983	14
1984	16
1985	17
1986	18
1987	18
1988	22
1989	22
1990	25
1991	26
1992	28
1993	31
1994	32
1995	36
1996	41
1997	45
1998	52
1999	52
2000	53
2001	64
2002	61
2003	58
2004	58
2005	60
2006	61
2007	61
2008	68
2009	81
2010	86
2011	86
2012	95
2013	99
